ref_date,year,hydro_mwh,wind_mwh,solar_mwh,tidal_mwh,biomass_mwh,non_renewable_combustible_mwh,other_mwh,renewable_mwh,non_renewable_mwh,total_mwh,renewable_share_pct
2008-01-01,2008,107413,11562,0,2417,0,1067613,0,121392,1067613,1189005,10.21
2008-02-01,2008,121149,8809,0,1915,0,962315,0,131873,962315,1094188,12.05
2008-03-01,2008,145267,11552,0,2473,0,1023322,0,159292,1023322,1182614,13.47
2008-04-01,2008,110078,7582,0,2447,0,906525,0,120107,906525,1026632,11.70
2008-05-01,2008,87975,8993,0,2400,0,859102,0,99368,859102,958470,10.37
2008-06-01,2008,66502,4064,0,1249,0,831393,0,71815,831393,903208,7.95
2008-07-01,2008,54128,4888,0,-115,0,879207,0,58901,879207,938108,6.28
2008-08-01,2008,50690,3650,0,-71,0,872424,0,54269,872424,926693,5.86
2008-09-01,2008,84541,7206,0,-65,0,828999,0,91682,828999,920681,9.96
2008-10-01,2008,66372,9570,0,-60,0,881460,0,75882,881460,957342,7.93
2008-11-01,2008,71797,9059,0,389,0,880230,0,81245,880230,961475,8.45
2008-12-01,2008,124214,10960,0,2039,0,968771,0,137213,968771,1105984,12.41
2009-01-01,2009,113802,9221,0,2220,0,1082886,0,125243,1082886,1208129,10.37
2009-02-01,2009,88146,8944,0,2186,0,965455,0,99276,965455,1064731,9.32
2009-03-01,2009,113616,7829,0,2570,0,984844,0,124015,984844,1108859,11.18
2009-04-01,2009,109411,8476,0,2339,0,819908,0,120226,819908,940134,12.79
2009-05-01,2009,122049,6188,0,2831,0,819319,0,131068,819319,950387,13.79
2009-06-01,2009,58832,5741,0,2484,0,762028,0,67057,762028,829085,8.09
2009-07-01,2009,72915,4858,0,2906,0,781545,0,80679,781545,862224,9.36
2009-08-01,2009,63581,4694,0,2280,0,792019,0,70555,792019,862574,8.18
2009-09-01,2009,47910,5733,0,2544,0,703615,0,56187,703615,759802,7.39
2009-10-01,2009,84190,9231,0,2492,0,822929,0,95913,822929,918842,10.44
2009-11-01,2009,84172,10967,0,2659,0,839469,0,97798,839469,937267,10.43
2009-12-01,2009,109492,12943,0,2442,0,1041951,0,124877,1041951,1166828,10.70
2010-01-01,2010,111235,9122,0,1696,0,1096373,0,122053,1096373,1218426,10.02
2010-02-01,2010,85928,9966,0,2015,0,971162,0,97909,971162,1069071,9.16
2010-03-01,2010,93488,11050,0,2547,0,973011,0,107085,973011,1080096,9.91
2010-04-01,2010,97370,4466,0,2412,0,708161,0,104248,708161,812409,12.83
2010-05-01,2010,72743,8201,0,2695,0,808850,0,83639,808850,892489,9.37
2010-06-01,2010,67570,5450,0,2503,0,798755,0,75523,798755,874278,8.64
2010-07-01,2010,55570,5879,0,2472,0,884925,0,63921,884925,948846,6.74
2010-08-01,2010,47359,6429,0,2636,0,889766,0,56424,889766,946190,5.96
2010-09-01,2010,53426,7803,0,2480,0,776615,0,63709,776615,840324,7.58
2010-10-01,2010,58867,14766,0,2014,0,849105,0,75647,849105,924752,8.18
2010-11-01,2010,105556,13637,0,1913,0,862167,0,121106,862167,983273,12.32
2010-12-01,2010,152924,27743,0,2297,0,889776,0,182964,889776,1072740,17.06
2011-01-01,2011,131037,22709,0,2494,0,1029796,0,156240,1029796,1186036,13.17
2011-02-01,2011,104673,20724,0,2216,0,996697,0,127613,996697,1124310,11.35
2011-03-01,2011,134181,38425,0,2400,0,983321,0,175006,983321,1158327,15.11
2011-04-01,2011,113540,36586,0,2732,0,776827,0,152858,776827,929685,16.44
2011-05-01,2011,133407,33214,0,2381,0,699535,0,169002,699535,868537,19.46
2011-06-01,2011,82095,22031,0,2516,0,729000,0,106642,729000,835642,12.76
2011-07-01,2011,66314,22481,0,2786,0,804309,0,91581,804309,895890,10.22
2011-08-01,2011,45391,21797,0,1370,0,806930,0,68558,806930,875488,7.83
2011-09-01,2011,39633,22203,0,1880,0,669874,0,63716,669874,733590,8.69
2011-10-01,2011,81331,30964,0,2026,0,662546,0,114321,662546,776867,14.72
2011-11-01,2011,75058,36290,0,1311,0,720009,0,112659,720009,832668,13.53
2011-12-01,2011,99204,35159,0,1983,0,807386,0,136346,807386,943732,14.45
2012-01-01,2012,100612,41725,0,1983,0,907105,0,144320,907105,1051425,13.73
2012-02-01,2012,90586,32650,0,1809,0,886228,0,125045,886228,1011273,12.37
2012-03-01,2012,95109,37141,0,1765,0,746808,0,134015,746808,880823,15.21
2012-04-01,2012,74472,36614,0,1862,0,686411,0,112948,686411,799359,14.13
2012-05-01,2012,69140,32946,0,2395,0,631851,0,104481,631851,736332,14.19
2012-06-01,2012,57846,29510,0,2891,0,605456,0,90247,605456,695703,12.97
2012-07-01,2012,42984,25901,0,2368,0,655204,0,71253,655204,726457,9.81
2012-08-01,2012,19284,25625,0,2464,0,713573,0,47373,713573,760946,6.23
2012-09-01,2012,31132,38687,0,2609,0,596081,0,72428,596081,668509,10.83
2012-10-01,2012,75030,47328,0,2096,0,691019,0,124454,691019,815473,15.26
2012-11-01,2012,91092,40089,0,2388,0,771661,0,133569,771661,905230,14.76
2012-12-01,2012,87254,51805,0,2498,0,873837,0,141557,873837,1015394,13.94
2013-01-01,2013,96515,57071,0,2324,0,942104,0,155910,942104,1098014,14.20
2013-02-01,2013,95915,32752,0,2170,0,979037,0,130837,979037,1109874,11.79
2013-03-01,2013,100245,35494,0,2559,0,812606,0,138298,812606,950904,14.54
2013-04-01,2013,106242,36134,0,2447,0,714013,0,144823,714013,858836,16.86
2013-05-01,2013,76873,40293,0,2799,0,661360,0,119965,661360,781325,15.35
2013-06-01,2013,55597,33255,0,435,0,598444,0,89287,598444,687731,12.98
2013-07-01,2013,58507,28071,0,585,0,698431,0,87163,698431,785594,11.10
2013-08-01,2013,42835,29935,0,-167,0,657474,0,72603,657474,730077,9.94
2013-09-01,2013,59784,40263,0,-211,0,590276,0,99836,590276,690112,14.47
2013-10-01,2013,59658,38073,0,-152,0,677271,0,97579,677271,774850,12.59
2013-11-01,2013,80982,50222,0,447,0,765200,0,131651,765200,896851,14.68
2013-12-01,2013,125356,43954,0,1594,0,987821,0,170904,987821,1158725,14.75
2014-01-01,2014,124235,56389,0,1533,0,927044,0,182157,927044,1109201,16.42
2014-02-01,2014,113759,30714,0,1352,0,864089,0,145825,864089,1009914,14.44
2014-03-01,2014,104012,35662,0,1983,0,925952,0,141657,925952,1067609,13.27
2014-04-01,2014,127012,36890,0,1530,0,704767,0,165432,704767,870199,19.01
2014-05-01,2014,110802,28829,0,1894,0,672137,0,141525,672137,813662,17.39
2014-06-01,2014,62031,29462,0,1865,0,617867,0,93358,617867,711225,13.13
2014-07-01,2014,39335,45184,0,586,0,648121,0,85105,648121,733226,11.61
2014-08-01,2014,35915,25493,0,1781,0,694624,0,63189,694624,757813,8.34
2014-09-01,2014,52919,34775,0,1681,0,573027,0,89375,573027,662402,13.49
2014-10-01,2014,56224,45054,0,1376,0,597968,0,102654,597968,700622,14.65
2014-11-01,2014,104423,50271,0,-4,0,714751,0,154690,714751,869441,17.79
2014-12-01,2014,153022,47289,0,-94,0,784335,0,200217,784335,984552,20.34
2015-01-01,2015,101627,47869,0,-124,0,958414,0,149372,958414,1107786,13.48
2015-02-01,2015,109073,42879,0,-164,0,917944,0,151788,917944,1069732,14.19
2015-03-01,2015,103649,48773,0,-13,0,913542,0,152409,913542,1065951,14.30
2015-04-01,2015,101702,39683,0,1538,0,716581,0,142923,716581,859504,16.63
2015-05-01,2015,124550,43642,0,1615,0,500264,0,169807,500264,670071,25.34
2015-06-01,2015,105648,37158,0,1951,0,523413,0,144757,523413,668170,21.66
2015-07-01,2015,78570,25072,0,870,0,614097,0,104512,614097,718609,14.54
2015-08-01,2015,65891,27536,0,22,0,640822,0,93449,640822,734271,12.73
2015-09-01,2015,64474,36673,0,1791,0,560634,0,102938,560634,663572,15.51
2015-10-01,2015,35164,50381,0,1524,0,624797,0,87069,624797,711866,12.23
2015-11-01,2015,38256,46108,0,1979,0,670862,0,86343,670862,757205,11.40
2015-12-01,2015,74700,42835,0,1831,0,728426,0,119366,728426,847792,14.08
2016-01-01,2016,92922,106744,0,1257,0,823926,0,200923,823926,1024849,19.61
2016-02-01,2016,115791,92039,0,1782,0,700949,0,209612,700949,910561,23.02
2016-03-01,2016,123478,90611,0,1901,0,735956,0,215990,735956,951946,22.69
2016-04-01,2016,111394,83942,0,1800,0,593943,0,197136,593943,791079,24.92
2016-05-01,2016,95163,67204,0,1803,0,587239,0,164170,587239,751409,21.85
2016-06-01,2016,48131,67534,0,1314,0,546213,0,116979,546213,663192,17.64
2016-07-01,2016,34819,56251,0,1171,0,614351,0,92241,614351,706592,13.05
2016-08-01,2016,28467,54786,0,1923,0,647547,0,85176,647547,732723,11.62
2016-09-01,2016,20608,76387,0,1415,0,584591,0,98410,584591,683001,14.41
2016-10-01,2016,32568,97855,0,1108,0,628298,0,131531,628298,759829,17.31
2016-11-01,2016,61033,97006,0,1665,0,675770,0,159704,675770,835474,19.12
2016-12-01,2016,39114,110058,0,1408,0,859330,0,150580,859330,1009910,14.91
2017-01-01,2017,90629,97850,0,1723,0,859399,0,190202,859399,1049601,18.12
2017-02-01,2017,91456,118316,0,1562,0,752049,0,211334,752049,963383,21.94
2017-03-01,2017,117440,139480,0,430,0,769588,0,257350,769588,1026938,25.06
2017-04-01,2017,97915,101636,0,0,0,648591,0,199551,648591,848142,23.53
