ref_date,generation_type,reported_total_mwh,computed_total_mwh,suppressed_component_count,component_count,variance_mwh,variance_pct,reconciliation_flag
2008-01-01,Combustion turbine,30863,30863,0,1,0,0.0000,OK
2008-01-01,Conventional steam turbine,1036750,1036750,0,2,0,0.0000,OK
2008-01-01,Hydraulic turbine,107413,107413,0,2,0,0.0000,OK
2008-01-01,Tidal power turbine,2417,2417,0,1,0,0.0000,OK
2008-01-01,Total all types of electricity generation,1189005,1189005,0,2,0,0.0000,OK
2008-01-01,Wind power turbine,11562,11562,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-02-01,Combustion turbine,25380,25380,0,1,0,0.0000,OK
2008-02-01,Conventional steam turbine,936935,936935,0,2,0,0.0000,OK
2008-02-01,Hydraulic turbine,121149,121149,0,2,0,0.0000,OK
2008-02-01,Tidal power turbine,1915,1915,0,1,0,0.0000,OK
2008-02-01,Total all types of electricity generation,1094188,1094188,0,2,0,0.0000,OK
2008-02-01,Wind power turbine,8809,8809,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-03-01,Combustion turbine,20395,20395,0,1,0,0.0000,OK
2008-03-01,Conventional steam turbine,1002927,1002927,0,2,0,0.0000,OK
2008-03-01,Hydraulic turbine,145267,145267,0,2,0,0.0000,OK
2008-03-01,Tidal power turbine,2473,2473,0,1,0,0.0000,OK
2008-03-01,Total all types of electricity generation,1182614,1182614,0,2,0,0.0000,OK
2008-03-01,Wind power turbine,11552,11552,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-04-01,Combustion turbine,8341,8341,0,1,0,0.0000,OK
2008-04-01,Conventional steam turbine,898184,898184,0,2,0,0.0000,OK
2008-04-01,Hydraulic turbine,110078,110078,0,2,0,0.0000,OK
2008-04-01,Tidal power turbine,2447,2447,0,1,0,0.0000,OK
2008-04-01,Total all types of electricity generation,1026632,1026632,0,2,0,0.0000,OK
2008-04-01,Wind power turbine,7582,7582,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-05-01,Combustion turbine,8790,8790,0,1,0,0.0000,OK
2008-05-01,Conventional steam turbine,850312,850312,0,2,0,0.0000,OK
2008-05-01,Hydraulic turbine,87975,87975,0,2,0,0.0000,OK
2008-05-01,Tidal power turbine,2400,2400,0,1,0,0.0000,OK
2008-05-01,Total all types of electricity generation,958470,958470,0,2,0,0.0000,OK
2008-05-01,Wind power turbine,8993,8993,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-06-01,Combustion turbine,19474,19474,0,1,0,0.0000,OK
2008-06-01,Conventional steam turbine,811919,811919,0,2,0,0.0000,OK
2008-06-01,Hydraulic turbine,66502,66502,0,2,0,0.0000,OK
2008-06-01,Tidal power turbine,1249,1249,0,1,0,0.0000,OK
2008-06-01,Total all types of electricity generation,903208,903208,0,2,0,0.0000,OK
2008-06-01,Wind power turbine,4064,4064,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-07-01,Combustion turbine,27094,27094,0,1,0,0.0000,OK
2008-07-01,Conventional steam turbine,852113,852113,0,2,0,0.0000,OK
2008-07-01,Hydraulic turbine,54128,54128,0,2,0,0.0000,OK
2008-07-01,Tidal power turbine,-115,-115,0,1,0,0.0000,OK
2008-07-01,Total all types of electricity generation,938108,938108,0,2,0,0.0000,OK
2008-07-01,Wind power turbine,4888,4888,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-08-01,Combustion turbine,17180,17180,0,1,0,0.0000,OK
2008-08-01,Conventional steam turbine,855244,855244,0,2,0,0.0000,OK
2008-08-01,Hydraulic turbine,50690,50690,0,2,0,0.0000,OK
2008-08-01,Tidal power turbine,-71,-71,0,1,0,0.0000,OK
2008-08-01,Total all types of electricity generation,926693,926693,0,2,0,0.0000,OK
2008-08-01,Wind power turbine,3650,3650,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-09-01,Combustion turbine,22104,22104,0,1,0,0.0000,OK
2008-09-01,Conventional steam turbine,806895,806895,0,2,0,0.0000,OK
2008-09-01,Hydraulic turbine,84541,84541,0,2,0,0.0000,OK
2008-09-01,Tidal power turbine,-65,-65,0,1,0,0.0000,OK
2008-09-01,Total all types of electricity generation,920681,920681,0,2,0,0.0000,OK
2008-09-01,Wind power turbine,7206,7206,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-10-01,Combustion turbine,32772,32772,0,1,0,0.0000,OK
2008-10-01,Conventional steam turbine,848688,848688,0,2,0,0.0000,OK
2008-10-01,Hydraulic turbine,66372,66372,0,2,0,0.0000,OK
2008-10-01,Tidal power turbine,-60,-60,0,1,0,0.0000,OK
2008-10-01,Total all types of electricity generation,957342,957342,0,2,0,0.0000,OK
2008-10-01,Wind power turbine,9570,9570,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-11-01,Combustion turbine,27009,27009,0,1,0,0.0000,OK
2008-11-01,Conventional steam turbine,853221,853221,0,2,0,0.0000,OK
2008-11-01,Hydraulic turbine,71797,71797,0,2,0,0.0000,OK
2008-11-01,Tidal power turbine,389,389,0,1,0,0.0000,OK
2008-11-01,Total all types of electricity generation,961475,961475,0,2,0,0.0000,OK
2008-11-01,Wind power turbine,9059,9059,1,2,0,0.0000,SUPPRESSED_SOURCE
2008-12-01,Combustion turbine,19797,19797,0,1,0,0.0000,OK
2008-12-01,Conventional steam turbine,948974,948974,0,2,0,0.0000,OK
2008-12-01,Hydraulic turbine,124214,124214,0,2,0,0.0000,OK
2008-12-01,Tidal power turbine,2039,2039,0,1,0,0.0000,OK
2008-12-01,Total all types of electricity generation,1105984,1105984,0,2,0,0.0000,OK
2008-12-01,Wind power turbine,10960,10960,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-01-01,Combustion turbine,27973,27973,0,1,0,0.0000,OK
2009-01-01,Conventional steam turbine,1054913,1054913,0,2,0,0.0000,OK
2009-01-01,Hydraulic turbine,113802,113802,0,2,0,0.0000,OK
2009-01-01,Tidal power turbine,2220,2220,0,1,0,0.0000,OK
2009-01-01,Total all types of electricity generation,1208129,1208129,0,2,0,0.0000,OK
2009-01-01,Wind power turbine,9221,9221,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-02-01,Combustion turbine,35355,35355,0,1,0,0.0000,OK
2009-02-01,Conventional steam turbine,930100,930100,0,2,0,0.0000,OK
2009-02-01,Hydraulic turbine,88146,88146,0,2,0,0.0000,OK
2009-02-01,Tidal power turbine,2186,2186,0,1,0,0.0000,OK
2009-02-01,Total all types of electricity generation,1064731,1064731,0,2,0,0.0000,OK
2009-02-01,Wind power turbine,8944,8944,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-03-01,Combustion turbine,29780,29780,0,1,0,0.0000,OK
2009-03-01,Conventional steam turbine,955064,955064,0,2,0,0.0000,OK
2009-03-01,Hydraulic turbine,113616,113616,0,2,0,0.0000,OK
2009-03-01,Tidal power turbine,2570,2570,0,1,0,0.0000,OK
2009-03-01,Total all types of electricity generation,1108859,1108859,0,2,0,0.0000,OK
2009-03-01,Wind power turbine,7829,7829,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-04-01,Combustion turbine,18911,18911,0,1,0,0.0000,OK
2009-04-01,Conventional steam turbine,800997,800997,0,2,0,0.0000,OK
2009-04-01,Hydraulic turbine,109411,109411,0,2,0,0.0000,OK
2009-04-01,Tidal power turbine,2339,2339,0,1,0,0.0000,OK
2009-04-01,Total all types of electricity generation,940134,940134,0,2,0,0.0000,OK
2009-04-01,Wind power turbine,8476,8476,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-05-01,Combustion turbine,29881,29881,0,1,0,0.0000,OK
2009-05-01,Conventional steam turbine,789438,789438,0,2,0,0.0000,OK
2009-05-01,Hydraulic turbine,122049,122049,0,2,0,0.0000,OK
2009-05-01,Tidal power turbine,2831,2831,0,1,0,0.0000,OK
2009-05-01,Total all types of electricity generation,950387,950387,0,2,0,0.0000,OK
2009-05-01,Wind power turbine,6188,6188,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-06-01,Combustion turbine,45117,45117,0,1,0,0.0000,OK
2009-06-01,Conventional steam turbine,716911,716911,0,2,0,0.0000,OK
2009-06-01,Hydraulic turbine,58832,58832,0,2,0,0.0000,OK
2009-06-01,Tidal power turbine,2484,2484,0,1,0,0.0000,OK
2009-06-01,Total all types of electricity generation,829085,829085,0,2,0,0.0000,OK
2009-06-01,Wind power turbine,5741,5741,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-07-01,Combustion turbine,43496,43496,0,1,0,0.0000,OK
2009-07-01,Conventional steam turbine,738049,738049,0,2,0,0.0000,OK
2009-07-01,Hydraulic turbine,72915,72915,0,2,0,0.0000,OK
2009-07-01,Tidal power turbine,2906,2906,0,1,0,0.0000,OK
2009-07-01,Total all types of electricity generation,862224,862224,0,2,0,0.0000,OK
2009-07-01,Wind power turbine,4858,4858,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-08-01,Combustion turbine,33194,33194,0,1,0,0.0000,OK
2009-08-01,Conventional steam turbine,758825,758825,0,2,0,0.0000,OK
2009-08-01,Hydraulic turbine,63581,63581,0,2,0,0.0000,OK
2009-08-01,Tidal power turbine,2280,2280,0,1,0,0.0000,OK
2009-08-01,Total all types of electricity generation,862574,862574,0,2,0,0.0000,OK
2009-08-01,Wind power turbine,4694,4694,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-09-01,Combustion turbine,39776,39776,0,1,0,0.0000,OK
2009-09-01,Conventional steam turbine,663839,663839,0,2,0,0.0000,OK
2009-09-01,Hydraulic turbine,47910,47910,0,2,0,0.0000,OK
2009-09-01,Tidal power turbine,2544,2544,0,1,0,0.0000,OK
2009-09-01,Total all types of electricity generation,759802,759802,0,2,0,0.0000,OK
2009-09-01,Wind power turbine,5733,5733,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-10-01,Combustion turbine,50950,50950,0,1,0,0.0000,OK
2009-10-01,Conventional steam turbine,771979,771979,0,2,0,0.0000,OK
2009-10-01,Hydraulic turbine,84190,84190,0,2,0,0.0000,OK
2009-10-01,Tidal power turbine,2492,2492,0,1,0,0.0000,OK
2009-10-01,Total all types of electricity generation,918842,918842,0,2,0,0.0000,OK
2009-10-01,Wind power turbine,9231,9231,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-11-01,Combustion turbine,57486,57486,0,1,0,0.0000,OK
2009-11-01,Conventional steam turbine,781983,781983,0,2,0,0.0000,OK
2009-11-01,Hydraulic turbine,84172,84172,0,2,0,0.0000,OK
2009-11-01,Tidal power turbine,2659,2659,0,1,0,0.0000,OK
2009-11-01,Total all types of electricity generation,937267,937267,0,2,0,0.0000,OK
2009-11-01,Wind power turbine,10967,10967,1,2,0,0.0000,SUPPRESSED_SOURCE
2009-12-01,Combustion turbine,45466,45466,0,1,0,0.0000,OK
2009-12-01,Conventional steam turbine,996485,996485,0,2,0,0.0000,OK
2009-12-01,Hydraulic turbine,109492,109492,0,2,0,0.0000,OK
2009-12-01,Tidal power turbine,2442,2442,0,1,0,0.0000,OK
2009-12-01,Total all types of electricity generation,1166828,1166828,0,2,0,0.0000,OK
2009-12-01,Wind power turbine,12943,12943,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-01-01,Combustion turbine,42670,42670,0,1,0,0.0000,OK
2010-01-01,Conventional steam turbine,1053703,1053703,0,2,0,0.0000,OK
2010-01-01,Hydraulic turbine,111235,111235,0,2,0,0.0000,OK
2010-01-01,Tidal power turbine,1696,1696,0,1,0,0.0000,OK
2010-01-01,Total all types of electricity generation,1218426,1218426,0,2,0,0.0000,OK
2010-01-01,Wind power turbine,9122,9122,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-02-01,Combustion turbine,40042,40042,0,1,0,0.0000,OK
2010-02-01,Conventional steam turbine,931120,931120,0,2,0,0.0000,OK
2010-02-01,Hydraulic turbine,85928,85928,0,2,0,0.0000,OK
2010-02-01,Tidal power turbine,2015,2015,0,1,0,0.0000,OK
2010-02-01,Total all types of electricity generation,1069071,1069071,0,2,0,0.0000,OK
2010-02-01,Wind power turbine,9966,9966,1,2,0,0.0000,SUPPRESSED_SOURCE
